year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2018,Addison,119.4535,17,Inscio,TX,2657375,Business Products & Services,1
2018,Dallas,87.6488,55,Greenville Avenue Pizza Company,TX,2655242,Food & Beverage,2
2018,Miami Beach,150.3118,8,YellowTelescope/SEOversite,FL,2653473,Business Products & Services,1
2018,Atlanta,237.6101,10,Passio Technologies,GA,2653129,Logistics & Transportation,1
2018,Cincinnati,164.8842,20,Team Fitz Graphics,OH,2653014,Manufacturing,1
2018,Atlanta,176.7103,24,EventSphere,GA,2651812,Travel & Hospitality,2
2018,Tucson,69.9779,9,SolidSurface.com,AZ,2650825,Retail,2
2018,Phoenix-Mesa,175.8521,4,SHIPHAUS,AZ,2649637,Logistics & Transportation,1
2018,Marietta,147.5173,62,Otter's Chicken,GA,2645158,Food & Beverage,1
2018,San Diego,493.7733,18,Evari GIS Consulting,CA,2642321,Environmental Services,1
2018,Charleston,236.2265,35,Visiture,SC,2640726,Advertising & Marketing,2
2018,San Rafael,944.6569,12,GRP Financial,CA,2639566,Financial Services,1
2018,Austin,81.6284,41,Urban Betty,TX,2637715,Retail,1
2018,Omaha,77.2278,5,Automated Drive Systems,NE,2634294,Business Products & Services,1
2018,Austin,110.6271,17,Workhorse Marketing,TX,2630522,Advertising & Marketing,2
2018,Columbus,362.487,26,Piedmont Payment Services,GA,2627060,Insurance,1
2018,Oakland,380.0822,29,Farber & Company Attorneys,CA,2626741,Consumer Products & Services,1
2018,Edina,264.6806,10,Ashton McGee Restoration Group,MN,2625886,Construction,1
2018,Vermilion,147.8944,17,Air Filter Factory,OH,2623737,Retail,2
2018,Atlanta,975.447,17,ISG Partners,GA,2623682,Human Resources,2
2018,Houston,86.6416,176,Star Building Services,TX,2615843,Business Products & Services,1
2018,White Plains,786.008,10,Product Launchers,NY,2615717,Business Products & Services,1
2018,Pasadena,2113.1552,41,Tridant Solutions,CA,2613183,Government Services,1
2018,Costa Mesa,119.5305,4,Excelleum Coaching and Consulting,CA,2612207,Real Estate,2
2018,New York City,589.622,5,Amerikas,NY,2610702,Business Products & Services,1
2018,Lancaster,189.9708,13,PROTO Construction Management,PA,2610317,Construction,2
2018,Oceanside,82.325,11,The Dirt Connection,CA,2610065,Construction,2
2018,Brooklyn,403.861,6,TRAVEL EXCLUSIVE,NY,2610000,Travel & Hospitality,2
2018,Golden,141.2785,28,Revenue River,CO,2607608,Advertising & Marketing,1
2018,State College,154.4689,25,Homeland Manufacturing Services,PA,2606614,Manufacturing,2
2018,Virginia Beach,2306.048,12,ODL Services,VA,2605750,Government Services,1
2018,Dulles,119.0466,12,Rhythmic Technologies,VA,2604523,IT Services,2
2018,Palm Beach Gardens,205.7063,9,Prep Obsessed,FL,2604437,Retail,1
2018,Colorado Springs,66.9891,51,Pink Realty,CO,2604416,Real Estate,1
