 url, rank, city, company, country, growth, revenue, industry, yrs_on_list,Year
https://www.inc.com/profile/sibpromservis,145,Nizhnevartovsk,Sibpromservis,Russian Federation,2051.2904,24922205,Environmental Services,1,2018
https://www.inc.com/profile/cantiere-del-pardo-spa,146,Forli,Cantiere Del Pardo S.P.A.,Italy,2049.2513,16274002,Consumer Products & Services,2,2018
https://www.inc.com/profile/bidtheatre-ab,147,Stockholm,Bidtheatre AB,Sweden,2044.7605,6611696,Software,1,2018
https://www.inc.com/profile/hyperoptic,148,London,Hyperoptic,United Kingdom,2018.9311,13460891,Telecommunications,1,2018
https://www.inc.com/profile/callensvyncke,149,Waregem,Callensvyncke,Belgium,2018.6382,6833286,Energy,1,2018
https://www.inc.com/profile/zhilye,150,Penza,Zhilye,Russian Federation,2008.0807,4885730,Real Estate,1,2018
https://www.inc.com/profile/alfa-therm-doo,151,Metkovic,ALFA THERM d.o.o.,Croatia,2006.5734,4934922,Construction,1,2018
https://www.inc.com/profile/transportnaya-kompaniya-optitreid-kargo,152,Moscow,Transportnaya Kompaniya Optitreid-Kargo,Russian Federation,1999.4072,5981925,Logistics & Transportation,1,2018
https://www.inc.com/profile/apteka-24,153,G Dzerzhinsk,Apteka 24,Russian Federation,1993.6433,5909371,Health,1,2018
https://www.inc.com/profile/varmega,154,Moscow,Varmega,Russian Federation,1990.1406,9018706,Manufacturing,1,2018
https://www.inc.com/profile/tte-top-transport-europe-srl,155,Frosinone,T.T.E. Top Transport Europe S.R.L.,Italy,1987.8684,4660874,Logistics & Transportation,1,2018
https://www.inc.com/profile/re-faktoring,156,Moscow,R.E. Faktoring,Russian Federation,1985.1989,5345032,Financial Services,1,2018
https://www.inc.com/profile/the-ring-ring-company,157,Diegem,The Ring Ring Company,Belgium,1963.0337,7759214,Telecommunications,1,2018
https://www.inc.com/profile/center-of-research-of-geological-data-geogrid-l,158,Moscow,Center of Research of Geological Data Geogrid L,Russian Federation,1958.8062,25904744,IT Services,1,2018
https://www.inc.com/profile/tekhnoplast,159,Moscow,Tekhnoplast,Russian Federation,1952.0343,12441279,Manufacturing,1,2018
https://www.inc.com/profile/selet-srl,160,Fiumicino,Selet S.R.L.,Italy,1945.9073,7583892,Construction,2,2018
https://www.inc.com/profile/strv,161,Prague,STRV,Czech Republic,1945.2897,10407375,IT Services,1,2018
https://www.inc.com/profile/promstroi,162,Moscow,Promstroi,Russian Federation,1931.7864,13239953,Construction,1,2018
https://www.inc.com/profile/meeting-point-hotelmanagement-canaries-sl,163,San Bartolome De Tirajana,Meeting Point Hotelmanagement (Canaries) SL,Canary Islands (Spain),1930.3136,80073781,Travel & Hospitality,1,2018
https://www.inc.com/profile/ilsole,164,Valea lui Mihai,Ilsole,Romania,1924.9792,12221944,Consumer Products & Services,1,2018
https://www.inc.com/profile/weimat,165,Eupen,Weimat,Belgium,1924.72,10293980,Manufacturing,1,2018
https://www.inc.com/profile/la-antigua-lavandera-sl,166,Alcala De Guadaira,La Antigua Lavandera SL.,Spain,1924.2077,35855864,Consumer Products & Services,1,2018
https://www.inc.com/profile/babylonia,167,Wommelgem,Babylonia,Belgium,1921.6624,7484376,Retail,1,2018
https://www.inc.com/profile/pompeamarket,168,Saint-Petersburg,Pompeamarket,Russian Federation,1920.8259,6534785,Retail,1,2018
https://www.inc.com/profile/limited-liability-compamy-neotrans,169,Moscow,Limited Liability Compamy Neotrans,Russian Federation,1914.0945,19148621,Logistics & Transportation,1,2018
https://www.inc.com/profile/bashavtokom-f,170,Ufa,Bashavtokom-F,Russian Federation,1911.2946,6771325,Retail,2,2018
https://www.inc.com/profile/inmoberica-de-gestion-sl,171,Madrid,Inmoberica De Gestion SL,Spain,1910.4822,8963795,Construction,1,2018
https://www.inc.com/profile/loopme,172,London,LoopMe,United Kingdom,1905.364,15702000,Media,1,2018
https://www.inc.com/profile/orbita-avto,173,Moscow,Orbita-Avto,Russian Federation,1903.1787,21344170,Manufacturing,1,2018
https://www.inc.com/profile/friteks-sia,174,Riga,Friteks SIA,Latvia,1901.2032,6829126,Business Products & Services,1,2018
https://www.inc.com/profile/framec-truck-srl,175,Occimiano,Framec Truck S.R.L.,Italy,1900.0316,6519183,Manufacturing,1,2018
https://www.inc.com/profile/hoviapteekki,176,Jyvaskyla,Hoviapteekki,Finland,1900,6000000,Health,1,2018
https://www.inc.com/profile/obshchestvo-iskra,177,Aleksandrov,Obshchestvo Iskra,Russian Federation,1881.6187,9265177,Manufacturing,1,2018
https://www.inc.com/profile/callcredit-consumer-limited,178,Leeds,Callcredit Consumer Limited,United Kingdom,1877.8798,10651773,Business Products & Services,1,2018
https://www.inc.com/profile/bygg-engineering-as,179,Mjoendalen,Bygg Engineering AS,Norway,1875.0157,8653867,Engineering,2,2018
https://www.inc.com/profile/alainsa,180,l'hospitalet De Llobregat,Alainsa,Spain,1868.0609,10298961,Construction,1,2018
https://www.inc.com/profile/topforsport,181,Brno,Topforsport,Czech Republic,1866.3441,9760834,Retail,1,2018
https://www.inc.com/profile/edil-cantieri-srl,182,Parma,Edil Cantieri S.R.L.,Italy,1861.1879,4781082,Construction,1,2018
https://www.inc.com/profile/clinical-supplies-management-europe-sa,183,Corbais,Clinical Supplies Management Europe SA,Belgium,1860.8121,12759612,Logistics & Transportation,1,2018
