year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2014,Sterling Heights,77.7599,9000,Key Safety Systems,MI,1166718000,Manufacturing,5
2012,national,21.8391,1039,Gibson Dunn,NY,1166000000,Business Products & Services,3
2016,Dallas,388.9403,1936,Pinnacle Group,TX,1161466598,Human Resources,10
2011,Brentwood,48.3256,5036,OHL,TN,1160808000,Logistics & Transportation,1
2011,New York,115.6832,1000,Altour,NY,1154889521,Travel & Hospitality,4
2018,Mount Laurel,153.5353,5247,Freedom Mortgage,NJ,1154661039,Financial Services,6
2009,Taylor,34.2732,250,Atlas Oil Company,MI,1153137529,Logistics & Transportation,4
2015,Santa Ana,209.0704,39486,Allied Universal,CA,1144344243,Security,8
2009,Irvine,1024.2593,32,Realty ONE Group,CA,1143000701,Real Estate,7
2017,Mount Laurel,208.9766,5416,Freedom Mortgage,NJ,1140862548,Financial Services,5
2014,West Des Moines,124.474,718,GuideOne Insurance,IA,1138554666,Insurance,1
2017,Greenville,556.4105,5559,ABC Phones of North Carolina,NC,1131834579,Telecommunications,7
2014,Scottsdale,52.5625,4440,GoDaddy.com,AZ,1130845000,IT Services,9
2013,Flint,198.5443,761,Diplomat Specialty Pharmacy,MI,1126942488,Health,6
2012,New York,16.5803,1183,Cleary Gottlieb,NY,1125000000,Business Products & Services,3
2017,Effingham,68.7811,9452,Heartland Dental,IL,1124589344,Business Products & Services,7
2010,Chicago,3.1365,1657,Mayer Brown,IL,1118000000,Business Products & Services,1
2008,Houston,59.7075,575,Sun Coast Resources,TX,1114436744,Energy,6
2012,New York,12.9949,764,Sullivan & Cromwell,NY,1113000000,Business Products & Services,3
2011,Pittsburgh,44.0004,8687,Genco,PA,1111992000,Logistics & Transportation,5
2015,Los Angeles,52.5225,710,Quinn Emanuel,CA,1103500000,Business Products & Services,5
2011,San Antonio,407.536,1604,WellMed Medical Management,TX,1099848394,Health,3
2017,St. Louis,126.9981,512,ARCO Construction Company,MO,1096017092,Construction,4
2016,Quincy,48.264,1396,Granite Telecommunications,MA,1091579000,Telecommunications,10
2018,Troy,205.35,2278,United Shore,MI,1085837000,Financial Services,5
2011,New York,4.9855,1239,Morgan Lewis,NY,1084500000,Business Products & Services,4
2018,Pittsburgh,89.3976,305,Chartwell Pennsylvania,PA,1083738705,Health,1
2010,Taylor,28.5856,400,Atlas Oil Company,MI,1081885363,Logistics & Transportation,4
2011,New York,9.5431,749,Sullivan & Cromwell,NY,1079000000,Business Products & Services,3
2008,St. Louis,192.9083,1900,Scottrade,MO,1078529397,Financial Services,2
2010,New York,15.8894,1315,Morgan Lewis,NY,1068500000,Business Products & Services,4
2012,Reston,206.6083,227,Carahsoft Technology,VA,1065498972,Government Services,10
2011,national,17.135,1029,Gibson Dunn,NY,1063000000,Business Products & Services,3
